,Accuracy,Avg Cross Entropy Loss,epoch
0,0.7814375,1.6966463327407837,0
1,0.86075,1.6017251014709473,1
2,0.8756666666666667,1.5863063335418701,2
3,0.8843125,1.5769644975662231,3
4,0.8868333333333334,1.5744353532791138,4
5,0.8952916666666667,1.5664340257644653,5
6,0.9016875,1.559657096862793,6
7,0.9057916666666667,1.5554587841033936,7
8,0.9116458333333334,1.549720048904419,8
9,0.9152291666666666,1.5460721254348755,9
10,0.9188541666666666,1.5425161123275757,10
11,0.9203125,1.5406485795974731,11
12,0.9262916666666666,1.535190224647522,12
13,0.9250208333333333,1.5362396240234375,13
14,0.930125,1.5312830209732056,14
15,0.929625,1.5314558744430542,15
16,0.9314583333333334,1.5298728942871094,16
17,0.9349375,1.5262607336044312,17
18,0.9383125,1.523160696029663,18
19,0.9391875,1.5221014022827148,19
20,0.9410625,1.520129919052124,20
21,0.9431041666666666,1.5181095600128174,21
22,0.9447916666666667,1.5165815353393555,22
23,0.9469583333333333,1.5143280029296875,23
24,0.9496041666666667,1.5115411281585693,24
25,0.9509375,1.5105276107788086,25
26,0.9532708333333333,1.50775146484375,26
27,0.9544166666666667,1.5068142414093018,27
28,0.9565208333333334,1.5046770572662354,28
29,0.9575625,1.5038888454437256,29
30,0.9584375,1.5028585195541382,30
31,0.9581458333333334,1.5030392408370972,31
32,0.959,1.5023398399353027,32
33,0.9593125,1.5020534992218018,33
34,0.9590625,1.5021307468414307,34
35,0.9604583333333333,1.500590205192566,35
36,0.9613333333333334,1.5001388788223267,36
37,0.9643541666666666,1.4971250295639038,37
38,0.9654583333333333,1.4959200620651245,38
39,0.9645208333333334,1.4967149496078491,39
40,0.9662083333333333,1.4951008558273315,40
41,0.9655,1.4959341287612915,41
