,Accuracy,Avg Cross Entropy Loss,epoch
0,0.5444,1.9382976293563843,0
1,0.7106,1.7522058486938477,1
2,0.752925,1.7082927227020264,2
3,0.780625,1.681533932685852,3
4,0.797675,1.6630363464355469,4
5,0.816025,1.6451064348220825,5
6,0.82875,1.6329697370529175,6
7,0.84055,1.6205140352249146,7
8,0.850525,1.6118124723434448,8
9,0.85875,1.6027774810791016,9
10,0.868575,1.59311044216156,10
11,0.875175,1.5864050388336182,11
12,0.881875,1.5794442892074585,12
13,0.89145,1.5701196193695068,13
14,0.8942,1.5668810606002808,14
15,0.9025,1.5597392320632935,15
16,0.9073,1.554867148399353,16
17,0.91145,1.5508314371109009,17
18,0.9165,1.5449491739273071,18
19,0.92045,1.5416067838668823,19
20,0.92145,1.540647268295288,20
21,0.92575,1.5361360311508179,21
22,0.929975,1.5321804285049438,22
23,0.9334,1.5284005403518677,23
24,0.934625,1.5272058248519897,24
25,0.939725,1.5219440460205078,25
26,0.942075,1.5195378065109253,26
27,0.943525,1.5182355642318726,27
28,0.944725,1.5166558027267456,28
29,0.94735,1.5142015218734741,29
30,0.9499,1.5118972063064575,30
31,0.952525,1.5096311569213867,31
32,0.952375,1.5095410346984863,32
33,0.954375,1.5073060989379883,33
34,0.956175,1.5055328607559204,34
35,0.9574,1.504468560218811,35
36,0.960525,1.5011812448501587,36
37,0.962325,1.4998688697814941,37
38,0.960775,1.5009435415267944,38
39,0.9626,1.4989573955535889,39
40,0.96275,1.498831868171692,40
41,0.963275,1.498564600944519,41
42,0.9658,1.4961378574371338,42
43,0.9659,1.4957127571105957,43
44,0.9678,1.494176983833313,44
45,0.966575,1.4950188398361206,45
46,0.96705,1.4947572946548462,46
47,0.968325,1.4932161569595337,47
48,0.970025,1.4917795658111572,48
49,0.9698,1.4921045303344727,49
50,0.970425,1.4912487268447876,50
51,0.970975,1.4906322956085205,51
52,0.972725,1.4888886213302612,52
53,0.9707,1.4908756017684937,53
54,0.97055,1.4911015033721924,54
55,0.973125,1.4885358810424805,55
56,0.9741,1.4878113269805908,56
57,0.97405,1.487566351890564,57
58,0.974275,1.4874054193496704,58
59,0.974175,1.487520694732666,59
60,0.974575,1.486910104751587,60
61,0.974975,1.4866608381271362,61
62,0.974025,1.4874074459075928,62
63,0.97375,1.487883448600769,63
