,Accuracy,Avg Cross Entropy Loss,epoch
0,0.48595,1.9919625520706177,0
1,0.6702,1.793639898300171,1
2,0.715025,1.7472960948944092,2
3,0.7445,1.7166005373001099,3
4,0.766075,1.6956130266189575,4
5,0.78015,1.6809014081954956,5
6,0.794325,1.6665494441986084,6
7,0.805875,1.654919147491455,7
8,0.815875,1.6454066038131714,8
9,0.8278,1.6336232423782349,9
10,0.8362,1.6250215768814087,10
11,0.84405,1.6171092987060547,11
12,0.855975,1.6058483123779297,12
13,0.862975,1.5986871719360352,13
14,0.8657,1.5959577560424805,14
15,0.87175,1.5897376537322998,15
16,0.880725,1.5804600715637207,16
17,0.885325,1.576019287109375,17
18,0.891625,1.5703657865524292,18
19,0.896725,1.565230131149292,19
20,0.901875,1.5599253177642822,20
21,0.9078,1.5540622472763062,21
22,0.91135,1.5506762266159058,22
23,0.9153,1.546689748764038,23
24,0.91895,1.5429929494857788,24
25,0.92215,1.5395104885101318,25
26,0.9255,1.5368818044662476,26
27,0.927975,1.5337133407592773,27
28,0.933725,1.5285065174102783,28
29,0.9369,1.5253996849060059,29
30,0.934825,1.527372121810913,30
31,0.9372,1.525050401687622,31
32,0.94,1.5220417976379395,32
33,0.94275,1.5192943811416626,33
34,0.9443,1.5172384977340698,34
35,0.947875,1.5139929056167603,35
36,0.9485,1.513444185256958,36
37,0.949375,1.5125088691711426,37
38,0.952,1.5098040103912354,38
39,0.9524,1.509788990020752,39
40,0.9511,1.5107746124267578,40
41,0.95565,1.506081461906433,41
42,0.956675,1.5051926374435425,42
43,0.95845,1.5034053325653076,43
44,0.958775,1.5029807090759277,44
45,0.9604,1.501247763633728,45
46,0.961825,1.5001239776611328,46
47,0.961625,1.5002433061599731,47
48,0.96385,1.4978218078613281,48
49,0.962475,1.4991846084594727,49
50,0.963325,1.4985214471817017,50
51,0.965825,1.4958184957504272,51
52,0.966225,1.4955822229385376,52
53,0.96595,1.495953917503357,53
54,0.966325,1.4955402612686157,54
55,0.9664,1.4950758218765259,55
56,0.966425,1.494964599609375,56
57,0.96845,1.493040680885315,57
58,0.968,1.4937266111373901,58
59,0.968425,1.493257761001587,59
60,0.969425,1.4920765161514282,60
61,0.969525,1.4922758340835571,61
62,0.970325,1.4913575649261475,62
63,0.969825,1.4915469884872437,63
64,0.970625,1.4907307624816895,64
65,0.9717,1.4899296760559082,65
66,0.972275,1.4895799160003662,66
67,0.971725,1.489611029624939,67
68,0.972325,1.4893925189971924,68
