,Accuracy,Avg Cross Entropy Loss,epoch,time_taken
0,0.291275,2.2349417209625244,0,10.28854250907898
1,0.40295,2.140432357788086,1,8.271880388259888
2,0.4382,2.093865156173706,2,8.271519660949707
3,0.455825,2.0656630992889404,3,8.329099655151367
4,0.4656,2.0489869117736816,4,8.255568027496338
5,0.4725,2.0356788635253906,5,8.246222972869873
6,0.479675,2.0258243083953857,6,8.785321950912476
7,0.485525,2.01757550239563,7,8.262162208557129
8,0.490225,2.011171579360962,8,8.184256792068481
9,0.4914,2.0055088996887207,9,8.203022241592407
10,0.494775,2.0001158714294434,10,8.637604713439941
11,0.497775,1.9956556558609009,11,8.6606924533844
12,0.50095,1.9929111003875732,12,8.07598066329956
13,0.500375,1.990204930305481,13,7.9807703495025635
14,0.5086,1.9832745790481567,14,8.16317892074585
15,0.5085,1.9818788766860962,15,8.417231321334839
16,0.50935,1.979672908782959,16,8.193873405456543
17,0.510425,1.9778037071228027,17,8.184236764907837
18,0.512925,1.9736450910568237,18,8.2517409324646
19,0.5143,1.9715845584869385,19,8.227701187133789
20,0.516625,1.969724416732788,20,8.223710060119629
21,0.51755,1.9686087369918823,21,8.138747215270996
22,0.523,1.9639654159545898,22,8.074952125549316
23,0.521175,1.9626562595367432,23,8.066295385360718
24,0.52435,1.9612623453140259,24,8.207460880279541
25,0.52545,1.9592994451522827,25,8.233747482299805
26,0.5273,1.9585872888565063,26,8.790996551513672
27,0.526275,1.9572314023971558,27,8.260798931121826
28,0.526975,1.956588625907898,28,8.148207187652588
29,0.531075,1.9528093338012695,29,8.161333084106445
30,0.531975,1.9521900415420532,30,9.118901491165161
31,0.533725,1.9512327909469604,31,8.053136587142944
32,0.533375,1.950399398803711,32,8.03027629852295
33,0.5316,1.9493298530578613,33,8.217266082763672
34,0.534075,1.948394775390625,34,8.161478519439697
35,0.536125,1.9461097717285156,35,8.110997200012207
36,0.5356,1.9461171627044678,36,8.147242546081543
37,0.5397,1.9441640377044678,37,9.046207904815674
38,0.538425,1.9428411722183228,38,8.487765312194824
39,0.53915,1.943436861038208,39,8.956300497055054
40,0.5412,1.940781593322754,40,8.032314777374268
41,0.54265,1.9399126768112183,41,7.984157562255859
42,0.54295,1.9393738508224487,42,7.980052947998047
43,0.543025,1.9382737874984741,43,8.090961933135986
44,0.5459,1.9369758367538452,44,8.041459560394287
45,0.54285,1.9379589557647705,45,8.176266193389893
46,0.543475,1.9362385272979736,46,8.063243389129639
47,0.543275,1.9363298416137695,47,8.085827589035034
48,0.54775,1.9347814321517944,48,8.447324752807617
49,0.546825,1.933944582939148,49,8.387076377868652
50,0.5475,1.9333158731460571,50,7.941456079483032
51,0.547775,1.9313697814941406,51,8.055512189865112
52,0.547875,1.931001901626587,52,8.035580158233643
53,0.55165,1.9297866821289062,53,8.093159437179565
54,0.552025,1.9290064573287964,54,8.724360942840576
55,0.55205,1.929547667503357,55,8.62161660194397
56,0.551625,1.928548812866211,56,8.109739065170288
57,0.551875,1.9279944896697998,57,8.187086343765259
58,0.55325,1.926569938659668,58,8.152390718460083
59,0.555975,1.925078272819519,59,8.081737279891968
60,0.554525,1.9251177310943604,60,8.349721670150757
61,0.55695,1.9228399991989136,61,9.225772857666016
62,0.5568,1.924225926399231,62,8.166502475738525
63,0.554725,1.9239394664764404,63,8.238714456558228
64,0.557375,1.9235166311264038,64,8.197425842285156
65,0.5578,1.922357439994812,65,8.204028367996216
66,0.555925,1.9226670265197754,66,8.713160037994385
67,0.559225,1.92155921459198,67,9.19526720046997
68,0.5593,1.9204018115997314,68,8.14308786392212
69,0.56115,1.918867826461792,69,8.113457441329956
70,0.561225,1.919077754020691,70,8.104245901107788
71,0.56285,1.9187142848968506,71,8.664778470993042
72,0.5605,1.9190255403518677,72,8.143317461013794
73,0.56275,1.9165576696395874,73,8.081997871398926
74,0.5622,1.9182958602905273,74,8.209884405136108
75,0.56295,1.9159246683120728,75,8.209675788879395
76,0.56205,1.9166935682296753,76,8.229097604751587
77,0.561925,1.9171392917633057,77,8.101738929748535
78,0.5625,1.9161368608474731,78,8.391761064529419
79,0.56495,1.914864420890808,79,8.873065948486328
80,0.5613,1.9168058633804321,80,8.289917230606079
81,0.564775,1.9137483835220337,81,8.169277667999268
82,0.5653,1.9139736890792847,82,9.188217163085938
83,0.5624,1.9155173301696777,83,8.384739398956299
84,0.566675,1.912895679473877,84,8.217889070510864
85,0.5682,1.9114161729812622,85,8.159075260162354
86,0.5665,1.9127594232559204,86,8.272209167480469
87,0.56825,1.9110386371612549,87,8.117177486419678
